english_name,japanese_name,definition
Rikishi,力士,A professional sumo wrestler. 
Mawashi,廻し,The belt (loincloth) that the rikishi (or sumo wrestler) wears during training or in competition. 
Dohyō,土俵,The ring in which sumo wrestling bouts are held.
Honbasho,本場所,An official professional sumo tournament.
Gyōji,行司,A referee in professional sumo wrestling in Japan.
Shimpan,審判,The ring-side judges of a professional sumo bout.
Kimarite,決まり手,Winning techniques in a sumo bout.
Kihonwaza,基本技,"Basic techniques. These, with the exception of the rarely seen Abisetaoshi, are some of the most common kimarite in sumo."
Abisetaoshi,浴びせ倒し,Forcing down the opponent on their back by leaning forward while in a grappling position (backward force down).
Oshidashi,押し出し,"Pushing the opponent out of the ring without holding their mawashi or belt, nor fully extending his arms. Hand contact must be maintained through the push (front push out)."
Oshitaoshi,押し倒し,Pushing the opponent down out of the ring (the opponent falls out of the ring instead of backing out) without holding their mawashi. Hand contact is maintained throughout the push (front push down).
Tsukidashi,突き出し,Thrusting the opponent backwards out of the ring with one or a series of hand thrusts. The attacker does not have to maintain hand contact (front thrust out).
Tsukitaoshi,突き倒し,Thrusting the opponent down out of the ring (the opponent falls over the edge) onto their back with a hard thrust or shove (front thrust down).
Yorikiri,寄り切り,"Maintaining a grip on the opponent's mawashi, the opponent is forced backwards out of the ring (frontal force out)."
Yoritaoshi,寄り倒し,"Maintaining a grip on the opponent's mawashi, the opponent is forced backwards out of the ring and collapses on their back from the force of the attack (front crush out)."
Nagete,投げ手,Throwing techniques.
Ipponzeoi,本背負い,"While moving backwards to the side, the opponent is pulled past the attacker and out of the ring by grabbing and pulling their arm with both hands (one-armed shoulder throw)."
Kakenage,掛け投げ,"Lifting the opponent's thigh with one's leg, while grasping the opponent with both arms, and then throwing the off-balance opponent to the ground (hooking inner thigh throw)."
Koshinage,腰投げ,"Bending over and pulling the opponent over the attacker's hip, then throwing the opponent to the ground on their back (hip throw)."
Kotenage,小手投げ,"The attacker wraps their arm around the opponent's extended arm (差し手 - gripping arm), then throws the opponent to the ground without touching their mawashi. A common move (armlock throw)."
Kubinage,首投げ,"The attacker wraps the opponent's head (or neck) in his arms, throwing him down (headlock throw)."
Nichonage,二丁投げ,Extending the right (left) leg around the outside of the opponent's right (left) knee thereby sweeping both of his legs off the surface and throwing him down (body drop throw)
Shitatedashinage,下手出し投げ,"The attacker extends their arm under the opponent's arm to grab the opponent's mawashi while dragging the opponent forwards and/or to the side, throwing them to the ground (pulling underarm throw)."
Shitatenage,下手投げ,"The attacker extends their arm under the opponent's arm to grab the opponent's mawashi and turns sideways, pulling the opponent down and throwing them to the ground (underarm throw)."
Sukuinage,掬い投げ,"The attacker extends their arm under the opponent's armpit and across their back while turning sideways, forcing the opponent forward and throwing him to the ground without touching the mawashi (beltless arm throw)."
Tsukaminage,つかみ投げ,"The attacker grabs the opponent's mawashi and lifts his body off the surface, pulling them into the air past the attacker and throwing them down (lifting throw)."
