Title,Ichimon,Founded,Address,Address_JP,Phone,Closest_Stations,Website,Description,Hexcolor,Coordinates,Other_Info
Arashio-beya,Tokitsukaze,2002,"2 Chome-47-2 Nihonbashihamacho, Chuo City, Tokyo 103-0007, Japan",〒103-0007 東京都中央区日本橋浜町２丁目４７−2,03-3666-7646,Hamacho Station (Toei Shinjuku Line),http://www.arashio.net/,Arashio-beya Sumo stable,#3e6a89,"35.686835, 139.788475","head is former Sōkokurai, made headlines when it welcomed back exonerated Sōkokurai in 2013"
Asakayama-beya,Isegahama,2014,"4 Chome-21-1 Midori, Sumida City, Tokyo 130-0021, Japan",〒130-0021 東京都墨田区緑４丁目２１−1,090-1505-1421,"Kinshicho Station (JR Sobu Line), Kinshicho Station (Tokyo Metro Hanzomon Line)",http://asakayamabeya.net/,,#dbd68f,"35.694507, 139.808123","head is former Kaiō, branched off from Tomozuna stable"
Azumazeki-beya,Takasago,1986,"2 Chome-10-13 Shibamata, Katsushika City, Tokyo 125-0052, Japan",〒125-0052 東京都葛飾区柴又２丁目１０−13,03-5876-5713,Shibamata Station (Keisei-Kanamachi Line),http://www.azumazeki.jp/,,#b686a5,"35.758533, 139.868005","head is former Takamisakari, first stable founded by foreign born wrestler (former Takamiyama)"
Chiganoura-beya,Nishonoseki,2004,"1 Chome-16-5 Hashiba, Taito City, Tokyo 111-0023, Japan",〒111-0023 東京都台東区橋場１丁目１６−5,080-4050-8051,"Minami-Senju Station (Tokyo Metro Hibiya Line, JR Joban Line & Tsukuba Express), Higashi-Mukojima Station (Tobu Isesaki Line)",http://chiganoura.lovepop.jp/,,#ff0eba,"35.724046, 139.806418","head is former Takamisugi, branched off from Kasugano stable"
Dewanoumi-beya,Dewanoumi,1862 (c.),"2 Chome-3-15 Ryōgoku, Sumida City, Tokyo 130-0026, Japan",〒130-0026 東京都墨田区両国２丁目３−15,03-3632-4920,"Ryogoku Station (JR Sobu Line), Ryogoku Station (Toei Oedo Line)",http://www.dewanoumi.net,,#d0fdea,"35.692359, 139.792658","head is former Oginohana, demotion of its last sekitori left the stable without any sekitori for the first time since 1898"
Fujishima-beya,Dewanoumi,1981,"4 Chome-27-1 Higashinippori, Arakawa City, Tokyo 116-0014, Japan",〒116-0014 東京都荒川区東日暮里４丁目２７−1,03-3805-6343,Uguisudani Station (JR Yamanote Line),,,#e3d91c,"35.726524, 139.780087","head is former Musōyama, was the strongest stable in early 2000s, name was changed from its previous incarnation as Musashigawa"
Futagoyama-beya,Dewanoumi,2018,"366 Kitaiwaoka, Tokorozawa, Saitama 359-0007, Japan",〒359-0007 埼玉県所沢市大字北岩岡366,,Iriso Station (Seibu Shinjuku Line) ,,,#88c986,"35.821263, 139.444411","Head is former Miyabiyama, branched off from Fujishima stable"
Hakkaku-beya,Takasago,1993,"1 Chome-16-1 Kamezawa, Sumida City, Tokyo 130-0014, Japan",〒130-0014 東京都墨田区亀沢１丁目１６−1,090-4024-0404,"Ryogoku Station (Toei Oedo Line), Ryogoku Station (JR Sobu Line)",http://hakkakubeya.com/,,#de79eb,"35.697449, 139.798947","head is former Hokutoumi, branched off from Kokonoe stable"
Irumagawa-beya,Dewanoumi,1993,"3 Chome-32-12 Hachioji, Chuo Ward, Saitama, 338-0006, Japan",〒338-0006 埼玉県さいたま市中央区八王子３丁目３２−12,,Yono-Honmachi Station (JR Saikyo Line),,,#e5a55f,"35.882518, 139.611414","head is former Tochitsukasa, branched off from Kasugano stable"
Isegahama-beya,Isegahama,1979,"1 Chome-7-4 Mori, Koto City, Tokyo 135-0001, Japan",〒135-0001 東京都江東区毛利１丁目７−4,03-3634-5514,Sumiyoshi Station (Tokyo Metro Hanzomon Line & Toei Shinjuku Line),https://isegahama.net/,,#0a4efb,"35.690774, 139.812582","head is former Asahifuji, until 2018 one of the most well represented stables in the upper divisions, renamed from its original incarnation as Ajigawa stable"
Isenoumi-beya,Tokitsukaze,1949,"1 Chome-22-2 Sengoku, Bunkyo City, Tokyo 112-0011, Japan",〒112-0011 東京都文京区千石１丁目２２−2,090-7821-5435,Sengoku Station (Mita Line),http://www.isenoumi.org/,,#e82167,"35.725694, 139.745656","head is former Kitakachidoki, the Isenoumi name has one of the longest traditions in sumo"
Kagamiyama-beya,Tokitsukaze,1970,"3 Chome-28-21 Shinkoiwa, Katsushika City, Tokyo 124-0024, Japan",〒124-0024 東京都葛飾区新小岩３丁目２８−21,,Shin-Koiwa Station (JR Sobu Line),,,#df1fbd,"35.712458, 139.867892","head is former Tagaryū, currently smallest stable with two wrestlers, branched off from Isenoumi stable"
Kasugano-beya,Dewanoumi,1925,"1 Chome-7-11 Ryōgoku, Sumida City, Tokyo 130-0026, Japan",〒130-0026 東京都墨田区両国１丁目７−11,,"Ryogoku Station (JR Sobu Line), Ryogoku Station (Toei Oedo Line)", https://www.facebook.com/kasuganobeya,,#faa1b5,"35.692993, 139.790807","head is former Tochinowaka, active since the Meiji era, currently one of the most successful stables"
Kataonami-beya,Nishonoseki,1961,"1 Chome-33-9 Ishiwara, Sumida City, Tokyo 130-0011, Japan",〒130-0011 東京都墨田区石原１丁目３３−9,,"Ryogoku Station (Toei Oedo Line), Ryogoku Station (JR Sobu Line)",http://kataonami.com/,,#2f602f,"35.701090, 139.798960","head is former Tamakasuga, branched off from Nishonoseki stable"
Kise-beya,Dewanoumi,2003,"1 Chome-16-8 Tatekawa, Sumida City, Tokyo 130-0023, Japan",〒130-0023 東京都墨田区立川１丁目１６−8,,Morishita Station (Toei Oedo Line & Toei Shinjuku Line),,,#3b1d61,"35.691778, 139.799948","head is former Higonoumi, was dissolved over a ticket selling scandal, then allowed to reform two years later, well represented in two top divisions"
