Hakuho Sho,Miyagino,Sho Hakuho,Hakuho,Yokozuna,March 11, 1985,Mongolia,192.0cm,151.0kg,migi-yotsu/yori
Kakuryu Rikisaburo,Michinoku,Mangaljalav Anand,Kakuryu,Yokozuna,August 10, 1985,Mongolia,186.0cm,152.0kg,migi-yotsu/shitatenage
Takakeisho Mitsunobu,Chiganoura,Takanobu Sato,Sato → Takakeisho,Ozeki,August 5, 1996,Hyogo,175.0cm,169.0kg,/tsuki, oshi
Asanoyama Hideki,Takasago,Hiroki Ishibashi,Ishibashi → Asanoyama,Ozeki,March 1, 1994,Toyama,188.0cm,172.0kg,migi-yotsu/yori
Shodai Naoya,Tokitsukaze,Naoya Shodai,Shodai,Sekiwake,November 5, 1991,Kumamoto,184.0cm,165.0kg,migi-yotsu/yori
Mitakeumi Hisashi,Dewanoumi,Hisashi Omichi,Mitakeumi,Sekiwake,December 25, 1992,Nagano,180.0cm,175.0kg,/tsuki, oshi
Daieisho Hayato,Oitekaze,Hayato Takanishi,Takanishi → Daishoei → Daieisho,Komusubi,November 10, 1993,Saitama,182.0cm,164.0kg,/tsuki, oshi
Okinoumi Ayumi,Hakkaku,Ayumi Fukuoka,Fukuoka → Okinoumi → Fukuoka → Okinoumi,Komusubi,July 29, 1985,Shimane,190.0cm,160.0kg,migi-yotsu/yori
Kiribayama Tetsuo,Michinoku,Byambachuluun Lkhagvasuren,Kiribayama,Maegashira #3,April 24, 1996,Mongolia,185.0cm,135.0kg,hidari-yotsu/yori, nage
Enho Akira,Miyagino,Yuya Nakamura,Enho,Maegashira #6,October 18, 1994,Ishikawa,169.0cm,96.0kg,hidrai-yotsu/shitatenage
Ishiura Masakatsu,Miyagino,Masakatsu Ishiura,Ishiura,Maegashira #8,January 10, 1990,Tottori,175.0cm,111.0kg,migi-yotsu/shitatenage
Tochinoshin Tsuyoshi,Kasugano,Levan Gorgadze,Tochinoshin,Maegashira #11,October 13, 1987,Georgia,191.0cm,173.0kg,migi-yotsu/uwatenage
Takayasu Akira,Tagonoura,Akira Takayasu,Takayasu,Maegashira #13,February 28, 1990,Ibaraki,187.0cm,172.0kg,/tsuki, oshi
Kotoshogiku Kazuhiro,Sadogatake,Kazuhiro Kikutsugi,Kotokikutsugi → Kotoshogiku,Maegashira #14,January 30, 1984,Fukuoka,181.0cm,178.0kg,hidari-yotsu/yori
Chiyomaru Kazuki,Kokonoe,Kazuki Kinoshita,Kinoshita → Chiyomaru,Maegashira #15,April 17, 1991,Kagoshima,179.0cm,190.0kg,/oshi
Terunofuji Haruo,Isegahama,Gantulga Ganerdene,Wakamisho → Terunofuji,Maegashira #17,November 29, 1991,Mongolia,192.0cm,180.0kg,migi-yotsu/yori
Chiyoshoma Fujio,Kokonoe,Ganbaatar Munkhsaikhan,Shoma → Chiyoshoma,Juryo #1,July 20, 1991,Mongolia,184.0cm,133.0kg,hidari-yotsu/oshi, yori
Azumaryu Tsuyoshi,Tamanoi,Sanduijav Todbileg,Azumaryu,Juryo #3,May 12, 1987,Mongolia,192.0cm,157.0kg,migi-yotsu/yori
Churanoumi Yoshihisa,Kise,Shinji Kizaki,Kizaki → Churanoumi,Juryo #9,May 6, 1993,Okinawa,177.0cm,139.0kg,hidari-yotsu/yori
Daishoho Kiyohiro,Oitekaze,Chimidregzen Shijirbayar,Daishoho,Juryo #10,August 28, 1994,Mongolia,185.0cm,180.0kg,migi-yotsu/yori
Asabenkei Daikichi,Takasago,Yasunobu Sakai,Asasakai → Asabenkei,Juryo #10,February 12, 1989,Kanagawa,191.0cm,199.0kg,/oshi
Takagenji Satoshi,Chiganoura,Satoshi Kamiyama,Takagenji,Juryo #13,May 13, 1997,Tochigi,193.0cm,169.0kg,/tsuki, oshi
Yutakayama Ryota,Tokitsukaze,Ryota Oyanagi,Oyanagi → Yutakayama,Maegashira #1,September 22, 1993,Niigata,185.0cm,175.0kg,/tsuki, oshi
Takarafuji Daisuke,Isegahama,Daisuke Sugiyama,Takarafuji,Maegashira #3,February 18, 1987,Aomori,185.0cm,168.0kg,hidari-yotsu/yori
Kotonowaka Masahiro,Sadogatake,Masakatsu Kamatani,Kotokamatani → Kotonowaka,Maegashira #13,November 19, 1997,Chiba,189.0cm,169.0kg,migi-yotsu/yori, oshi
Kizakiumi Shinnosuke,Kise,Shinnosuke Kizaki,Kizakiumi,Juryo #11,May 5, 1995,Okinawa,174.0cm,153.0kg,/oshi
Endo Shota,Oitekaze,Shota Endo,Endo,Maegashira #1,October 19, 1990,Ishikawa,183.0cm,150.0kg,hidari-yotsu/tsuppari, yori
Hokutofuji Daiki,Hakkaku,Daiki Nakamura,Daiki → Hokutofuji,Maegashira #5,July 15, 1992,Saitama,185.0cm,157.0kg,/oshi
Terutsuyoshi Shoki,Isegahama,Shoki Fukuoka,Terutsuyoshi,Maegashira #7,January 17, 1995,Hyogo,169.0cm,120.0kg,migi-maemitsu/nage
Hoshoryu Tomokatsu,Tatsunami,Sugarragchaa Byambasuren,Hoshoryu,Juryo #6,May 22, 1999,Mongolia,185.0cm,127.0kg,migi-yotsu/yori, nage
Wakamotoharu Minato,Arashio,Minato Onami,Araonami → Goshi → Wakamotoharu,Juryo #8,October 5, 1993,Fukushima,186.0cm,135.0kg,hidari-yotsu/yori
Chiyotairyu Hidemasa,Kokonoe,Hidemasa Meigetsuin,Meigetsuin → Chiyotairyu,Maegashira #8,November 14, 1988,Tokyo,182.0cm,188.0kg,/tsuki, oshi
Ichinojo Takashi,Minato,Altankhuyag Ichinnorov,Ichinojo,Juryo #5,April 7, 1993,Mongolia,192.0cm,201.0kg,migi-yotsu/yori
Takanosho Nobuaki,Chiganoura,Nobuaki Ishii,Masunosho → Masunosho → Takanosho,Maegashira #2,November 14, 1994,Chiba,184.0cm,162.0kg,/oshi
Abi Masatora,Shikoroyama,Kosuke Horikiri,Horikiri → Abi,Maegashira #5,May 4, 1994,Saitama,188.0cm,150.0kg,/tsuki, oshi
Kaisei Ichiro,Tomozuna,Rikarudo Sugano,Kaisei,Maegashira #10,December 18, 1986,Brazil,195.0cm,201.0kg,migi-yotsu/yori, oshi
Chiyonoumi Meitaro,Kokonoe,Meitaro Hamamachi,Hamamachi → Chiyonoumi,Juryo #14,January 11, 1993,Kochi,183.0cm,135.0kg,/tsuki, oshi
Onosho Fumiya,Ōnomatsu,Fumiya Utetsu,Onosho,Maegashira #2,July 4, 1996,Aomori,178.0cm,155.0kg,/tsuki. oshi
Kagayaki Taishi,Takadagawa,Ryoya Tatsu,Tatsu → Kagayaki,Maegashira #4,June 1, 1994,Ishikawa,193.0cm,163.0kg,/tsuki, oshi
Aoiyama Kosuke,Kasugano,Daniel Ivanov,Aoiyama,Maegashira #4,June 19, 1986,Bulgaria,192.0cm,194.0kg,migi-yotsu/yori
Ryuden Goshi,Takadagawa,Yuki Watanabe,Ryuden,Maegashira #6,November 10, 1990,Yamanashi,191.0cm,153.0kg,moro-zashi/yori
Tokushoryu Makoto,Kise,Makoto Aoki,Aoki → Tokushoryu,Maegashira #7,August 22, 1986,Nara,181.0cm,188.0kg,/tsuki, oshi
Tamawashi Ichiro,Kataonami,Batjargal Munkh-orgil,Tamawashi,Maegashira #9,November 16, 1984,Mongolia,189.0cm,169.0kg,/oshi
Ikioi Shota,Isenoumi,Shota Toguchi,Toguchi → Ikioi,Maegashira #9,October 11, 1986,Osaka,195.0cm,171.0kg,migi-yotsu/yori
Myogiryu Yasunari,Sakaigawa,Yasunari Miyamoto,Miyamoto → Myogiryu,Maegashira #10,October 22, 1986,Hyogo,187.0cm,152.0kg,/oshi
Shimanoumi Koyo,Kise,Koyo Hamaguchi,Hamaguchi → Shimanoumi,Maegashira #11,July 11, 1989,Mie,178.0cm,161.0kg,/tsuki, oshi
Sadanoumi Takashi,Sakaigawa,Kaname Matsumura,Matsumura → Sadanoumi,Maegashira #12,May 11, 1987,Kumamoto,184.0cm,140.0kg,migi-yotsu/yori
Shohozan Yuya,Nishonoseki,Yuya Matsutani,Matsutani → Shohozan,Maegashira #12,February 9, 1984,Fukuoka,178.0cm,133.0kg,/tsuki, oshi
Wakatakakage Atsushi,Arashio,Atsushi Onami,Wakatakakage,Maegashira #14,December 6, 1994,Fukushima,182.0cm,124.0kg,migi-yotsu/yori
Kotoshoho Yoshinari,Sadogatake,Toshiki Tebakari,Kototebakari → Kotoshoho,Maegashira #15,August 26, 1999,Chiba,191.0cm,165.0kg,migi-yotsu/yori
Nishikigi Tetsuya,Isenoumi,Tetsuya Kumagai,Kumagai → Nishikigi,Maegashira #16,August 25, 1990,Iwate,185.0cm,170.0kg,/oshi
Kotoeko Mitsunori,Sadogatake,Mitsutaka Kashiwadani,Kotokashiwadani → Kotoeko,Maegashira #16,November 20, 1991,Miyazaki,178.0cm,130.0kg,migi-yotsu/yori, oshi
Kotoyuki Kazuyoshi,Sadogatake,Yuki Enomoto,Kotoenomoto → Kotoyuki,Maegashira #17,April 2, 1991,Kagawa,175.0cm,177.0kg,/tsuki, oshi
