english_name,japanese_name,definition
Basho,場所,Venue. any sumo tournament. compare honbasho.
Chonmage,丁髷,"Traditional japanese haircut with a topknot, now only worn by rikishi and so an easy way to recognize that a man is in the sumo profession."
Deashi,出足,Constant forward movement. term used to refer to when a wrestler continuously moves forward as opposed to moving backwards or being moved backwards.
Dohyō,土俵,"The ring in which the sumo wrestlers hold their matches, made of a specific clay and spread with sand. a new dohyō is built prior to each tournament."
Fundoshi,褌,"Also pronounced, mitsu. general term referring to a loincloth, ornamental apron, or mawashi."
Gaburi-yori, がぶり寄り ,Pushing the opponent with the torso.
Gunbai,軍配,"A war fan, usually made of wood, used by the gyōji to signal his instructions and final decision during a bout. historically, it was used by samurai officers in japan to communicate commands to their soldiers."
Gyōji,行司,A sumo referee.
Hakkeyoi,はっけよい,"The phrase shouted by a sumo referee during a bout, specifically when the action has stalled and the wrestlers have reached a stand-off. it means, ""put some spirit into it!"""
Heya,部屋,"Literally ""room"", but usually rendered as stable. the establishment where a wrestler trains, and also lives while he is in the lower divisions. it is pronounced beya in compounds, such as in the name of the stable. (for example, the heya named sadogatake is called sadogatake-beya.)"
Hikiwake,引分,"A draw. though common in early sumo, it is very rare in the modern age."
Hyoushi-gi,拍子木,The wooden sticks that are clapped by the yobidashi to draw the spectator's attention.
Jōi-jin,上位陣,High rankers. a term loosely used to describe wrestlers who would expect to face a yokozuna during a tournament. in practice this normally means anyone ranked maegashira 4 or above.
Jonokuchi,序の口,An expression meaning this is only the beginning. the lowest division of sumo wrestlers.
Junyūshō,準優勝,An informal designation for a second-place finish in a sumo championship.
Kabu,株,See toshiyori kabu.
Kadoban,角番,An ōzeki who has suffered make-koshi in his previous tournament and so will be demoted if he fails to score at least eight wins. the present rules date from july 1969 and there have been over 100 cases of kadoban ōzeki since that time.
Kanreki-dohyōiri,還暦土俵入り,Former grand champion's 60th birthday ring-entering ceremony.
Keiko,稽古,Term referring to practice or training in sumō.
Kimarite,決まり手,"Winning techniques in a sumo bout, announced by the referee on declaring the winner. the japan sumo association recognizes eighty-two different kimarite."
Kokusai sumō renmei,国際相撲連盟,"International sumo federation, the ioc-recognized governing body for international and amateur sumo competitions."
Komusubi,小結,"Little knot. the fourth-highest rank of sumo wrestlers, and the lowest san'yaku rank."
Kuroboshi,黒星,"Black star. a loss in a sumo bout, recorded with a black circle."
Kyūjō,休場,"A wrestler's absence from a honbasho, usually due to injury."
Maemitsu,前褌,Front of the mawashi. often referred to as a maemitsu grip when one has a hold of the front of the mawashi.
Makikae,巻き替え,"Changing from an overarm to an underarm grip on one's opponent's belt. if done properly can lead to a speedy victory, however if not done properly will often end in quick defeat."
Makuuchi,幕内 or maku-no-uchi,"Inside the curtain. the top division in sumo. it is named for the curtained-off waiting area once reserved for professional wrestlers during basho, and comprises 42 wrestlers."
Mochikyūkin,持ち給金,A system of bonus payments to sekitori wrestlers.
Mono-ii,物言い,"The discussion held by the shimpan when the gyōji's decision for a bout is called into question. technically, the term refers to the querying of the decision: the resulting discussion is a kyogi."
Mushōbu,無勝負,No result. a kind of draw; the gyōji doesn't count a win or a loss. this outcome was recognised in the edo period.
Negishi-ryū,根岸流,The conservative style of calligraphy used in the banzuke. see sumō-ji.
Nodowa,喉輪,Thrusting at an opponents throat.
Onna-zumō,女相撲,"Sumo between female competitors. women are not allowed to compete professionally or even touch a professional dohyō, but informal bouts between women did occur in the 18th century and women currently compete in amateur competitions."
Oyakata,親方,"A sumo coach, almost always the owner of one of the 105 name licenses (toshiyori kabu). also used as a suffix as a personal honorific."
Sagari,下がり,The strings inserted into the front of the mawashi for competition. the sagari of sekitori wrestlers are stiffened with a seaweed-based glue.
Sanshō,三賞,Three prizes. special prizes awarded to makuuchi wrestlers for exceptional performance.
Sekitori,関取,"Literally ""taken the barrier"". sumo wrestlers ranked jūryō or higher."
Sekiwake,関脇,The third-highest rank of sumo wrestlers.
Shikiri,仕切り,"Toeing the mark. the preparation period before a bout, during which the wrestlers stare each other down, crouch repeatedly, perform the ritual salt-throwing, and other tactics to try to gain a psychological advantage."
Amazumo,アマ相撲,"Amateur sumo, consisting of bouts between non-professionals, ex-professionals, or people otherwise ineligible to compete professionally such as women and minors. includes individual and team competition at the international level."
Azukari,預り,"Hold. a kind of draw. after a mono-ii, the gyōji or the shimpan ""holds"" the result if it was too close to call. in 1927, the system was abolished and a torinaoshi (rematch) now takes place instead."
Banzuke,番付,"List of sumo wrestlers according to rank for a particular grand tournament, reflecting changes in rank due to the results of the previous tournament. it is written out in a particular calligraphy (see sumō-ji) and usually released on the monday 13 days prior to the first day of the tournament."
Banzuke-gai,番付外,"Outsider to the list. a wrestler who is not yet ranked, or has fallen off the banzuke due to injury or other reason for non-participation.[1]"
Binzuke,鬢付け,"Also called binzuke abura (binzuke oil). a japanese pomade, which consists mainly of wax and hardened chamomile oil that is used to style sumo wrestlers' hair and give it its distinctive smell and sheen. it is used exclusively by tokoyama hairdressers."
Chankonabe,ちゃんこ鍋,"A stew commonly eaten in large quantities by sumo wrestlers as part of a weight gain diet. it contains dashi or stock with sake or mirin to add flavor. the bulk of chankonabe is made up of large quantities of protein sources, usually chicken, fish (fried and made into balls), tofu, or sometimes beef; and vegetables (daikon, bok choy, etc.)."
Chikara-mizu,力水,"Power-water. the ladleful of water with which a wrestler will ceremonially rinse out his mouth prior to a bout. it must be handed to him by a wrestler not tainted with a loss on that day, so it is either handed to him by the victorious wrestler of the previous bout if he was on the same side of the dohyō, or if that wrestler was defeated, by the wrestler who will fight in the bout following. this system works well until the last match of the day (musubi no ichiban, 結びの一番) when one side will not have someone to give them the power water. this is due to the fact that one of the sides from the previous match lost and there is no next match, so there is neither a winner from the previous match, nor a next wrestler to give them the water. in this case a winner from two or three prior matches will be the one to give them the power water. this wrestler is known as the kachi-nokori (勝ち残り), which means the winner who remains."
Danpatsu-shiki,断髪式,"Retirement ceremony, held for a top wrestler in the ryōgoku kokugikan some months after retirement, in which his chonmage, or top knot is cut off. a wrestler must have fought as a sekitori in at least 30 tournaments to qualify for a ceremony at the kokugikan."
